product_author,product_imagelink,product_name,product_price
Aphanie Kalton,"https://images-na.ssl-images-amazon.com/images/I/81wFLRm0hJL._AC_UL200_SR200,200_.jpg","
            The Easy Keto Meal Prep: 800 Easy and Delicious Recipes - 21- Day Meal Plan - Lose Up to 20 Pounds in 3 Weeks
        ",$10.32
,"https://images-na.ssl-images-amazon.com/images/I/51OptX-h2uL._AC_UL200_SR200,200_.jpg","
            Two Peas & Their Pod Cookbook: Favorite Everyday Recipes from Our Family Kitchen
        ",$21.47
Jack Fairweather,"https://images-na.ssl-images-amazon.com/images/I/71fHJusgZwL._AC_UL200_SR200,200_.jpg","
            The Volunteer: One Man, an Underground Army, and the Secret Mission to Destroy Auschwitz
        ",$19.60
Nathan W. Pyle,"https://images-na.ssl-images-amazon.com/images/I/61zb65rJ5OL._AC_UL200_SR200,200_.jpg","
            Strange Planet
        ",$10.49
Tiffany Jenkins,"https://images-na.ssl-images-amazon.com/images/I/81V9PBjhYmL._AC_UL200_SR200,200_.jpg","
            High Achiever: The Incredible True Story of One Addict's Double Life
        ",$11.53
David Wilcock,"https://images-na.ssl-images-amazon.com/images/I/71XlEcvHf%2BL._AC_UL200_SR200,200_.jpg","
            Awakening in the Dream: Contact with the Divine
        ",$20.19
Tomi Lahren,"https://images-na.ssl-images-amazon.com/images/I/81ODXDG53zL._AC_UL200_SR200,200_.jpg","
            Never Play Dead: How the Truth Makes You Unstoppable
        ",$18.29
Jeff Kinney,"https://images-na.ssl-images-amazon.com/images/I/71-N8JBWzrL._AC_UL200_SR200,200_.jpg","
            Wrecking Ball (Diary of a Wimpy Kid Book 14)
        ",$10.49
,"https://images-na.ssl-images-amazon.com/images/I/51q0dPa91nL._AC_UL200_SR200,200_.jpg","
            The Bastard Brigade: The True Story of the Renegade Scientists and Spies Who Sabotaged the Nazi Atomic Bomb
        ",$20.23
Maureen Callahan,"https://images-na.ssl-images-amazon.com/images/I/914xuNX4gAL._AC_UL200_SR200,200_.jpg","
            American Predator: The Hunt for the Most Meticulous Serial Killer of the 21st Century
        ",$18.36
David Baldacci,"https://images-na.ssl-images-amazon.com/images/I/51wTLzO0ymL._AC_UL200_SR200,200_.jpg","
            One Good Deed
        ",$18.90
Adrian McKinty,"https://images-na.ssl-images-amazon.com/images/I/41weZhY-JLL._AC_UL200_SR200,200_.jpg","
            The Chain
        ",$18.30
Kate Atkinson,"https://images-na.ssl-images-amazon.com/images/I/51XAbxTwbDL._AC_UL200_SR200,200_.jpg","
            Big Sky (Jackson Brodie)
        ",$16.24
Kaplan Test Prep,"https://images-na.ssl-images-amazon.com/images/I/71vvU4GLo-L._AC_UL200_SR200,200_.jpg","
            MCAT Complete 7-Book Subject Review 2020-2021: Online + Book + 3 Practice Tests (Kaplan Test Prep)
        ",$169.13
Colson Whitehead,"https://images-na.ssl-images-amazon.com/images/I/71yP-dPa0mL._AC_UL200_SR200,200_.jpg","
            The Nickel Boys: A Novel
        ",$16.49
,"https://images-na.ssl-images-amazon.com/images/G/01/x-site/icons/no-img-sm._V192198896_AC_UL200_SR200,200_.gif","
            Transformers: The Manga
        ",$24.99
